#concreteMethod	kind	owner	method	note
# hand-written; audited by CatsIndexDriftSuite
cats/Eval#defer().	capability	cats/Defer#defer().	cats/Defer#defer().	Eval recursion is Defer
scala/collection/IterableOnceOps#reduce().	capability	cats/kernel/Semigroup#combine().	cats/kernel/Semigroup#combine().	Ambiguous reduction candidate requiring element combination
scala/collection/IterableOnceOps#size().	decline		OrderOrIndexSpecific	Map size
scala/collection/IterableOps#`++`().	capability	cats/SemigroupK#combineK().	cats/SemigroupK#combineK().	List and Vector concatenation
scala/collection/IterableOps#collect().	capability	cats/FunctorFilter#mapFilter().	cats/FunctorFilter#mapFilter().	Seq collect is FunctorFilter
scala/collection/IterableOps#drop().	decline		OrderOrIndexSpecific	Map drop
scala/collection/IterableOps#flatMap().	capability	cats/FlatMap#flatMap().	cats/FlatMap#flatMap().	Seq sequencing is FlatMap
scala/collection/IterableOps#head().	decline		OrderOrIndexSpecific	List and Map head
scala/collection/IterableOps#headOption().	decline		OrderOrIndexSpecific	Map headOption
scala/collection/IterableOps#init().	decline		OrderOrIndexSpecific	List and Map init
scala/collection/IterableOps#last().	decline		OrderOrIndexSpecific	Map last
scala/collection/IterableOps#map().	capability	cats/Functor#map().	cats/Functor#map().	Seq transformation is Functor
scala/collection/IterableOps#tail().	decline		OrderOrIndexSpecific	List and Map tail
scala/collection/IterableOps#take().	decline		OrderOrIndexSpecific	Map take
scala/collection/IterableOps#zipWithIndex().	decline		OrderOrIndexSpecific	Map zipWithIndex
scala/collection/LinearSeqOps#apply().	decline		OrderOrIndexSpecific	List indexing
scala/collection/LinearSeqOps#foldLeft().	capability	cats/Foldable#foldLeft().	cats/Foldable#foldLeft().	List foldLeft
scala/collection/LinearSeqOps#headOption().	decline		OrderOrIndexSpecific	List headOption
scala/collection/MapOps#`++`().	capability	cats/SemigroupK#combineK().	cats/SemigroupK#combineK().	Map concatenation
scala/collection/MapOps#apply().	decline		OrderOrIndexSpecific	Map key lookup by indexing syntax
scala/collection/MapOps#flatMap().	capability	cats/FlatMap#flatMap().	cats/FlatMap#flatMap().	Map flatMap
scala/collection/MapOps#map().	capability	cats/Functor#map().	cats/Functor#map().	Map map
scala/collection/SeqOps#apply().	decline		OrderOrIndexSpecific	Vector indexing
scala/collection/SeqOps#concat().	capability	cats/SemigroupK#combineK().	cats/SemigroupK#combineK().	sequence concat is SemigroupK
scala/collection/SeqOps#indexOf(+1).	decline		OrderOrIndexSpecific	List and Vector indexOf
scala/collection/SeqOps#size().	decline		OrderOrIndexSpecific	List and Vector size
scala/collection/SeqOps#sortBy().	decline		OrderOrIndexSpecific	List and Vector sortBy
scala/collection/SeqOps#sortWith().	decline		OrderOrIndexSpecific	List and Vector sortWith
scala/collection/StrictOptimizedIterableOps#collect().	capability	cats/FunctorFilter#mapFilter().	cats/FunctorFilter#mapFilter().	Vector collect is FunctorFilter
scala/collection/StrictOptimizedIterableOps#flatMap().	capability	cats/FlatMap#flatMap().	cats/FlatMap#flatMap().	Vector flatMap
scala/collection/StrictOptimizedIterableOps#map().	capability	cats/Functor#map().	cats/Functor#map().	Vector map
scala/collection/StrictOptimizedIterableOps#zipWithIndex().	decline		OrderOrIndexSpecific	List and Vector zipWithIndex
scala/collection/StrictOptimizedLinearSeqOps#drop().	decline		OrderOrIndexSpecific	List drop
scala/collection/immutable/List#collect().	capability	cats/FunctorFilter#mapFilter().	cats/FunctorFilter#mapFilter().	List collect is FunctorFilter
scala/collection/immutable/List#flatMap().	capability	cats/FlatMap#flatMap().	cats/FlatMap#flatMap().	List flatMap
scala/collection/immutable/List#foldRight().	capability	cats/Foldable#foldRight().	cats/Foldable#foldRight().	List foldRight
scala/collection/immutable/List#last().	decline		OrderOrIndexSpecific	List last
scala/collection/immutable/List#length().	decline		OrderOrIndexSpecific	List length
scala/collection/immutable/List#map().	capability	cats/Functor#map().	cats/Functor#map().	List map
scala/collection/immutable/List#reverse().	decline		OrderOrIndexSpecific	List reverse
scala/collection/immutable/List#take().	decline		OrderOrIndexSpecific	List take
scala/collection/immutable/StrictOptimizedSeqOps#sorted().	decline		OrderOrIndexSpecific	List and Vector sorted
scala/collection/immutable/Vector#drop().	decline		OrderOrIndexSpecific	Vector drop
scala/collection/immutable/Vector#head().	decline		OrderOrIndexSpecific	Vector head
scala/collection/immutable/Vector#init().	decline		OrderOrIndexSpecific	Vector init
scala/collection/immutable/Vector#last().	decline		OrderOrIndexSpecific	Vector last
scala/collection/immutable/Vector#length().	decline		OrderOrIndexSpecific	Vector length
scala/collection/immutable/Vector#tail().	decline		OrderOrIndexSpecific	Vector tail
scala/collection/immutable/Vector#take().	decline		OrderOrIndexSpecific	Vector take
scala/util/Try#flatMap().	capability	cats/FlatMap#flatMap().	cats/FlatMap#flatMap().	Try flatMap
scala/util/Try#get().	decline		ConcreteConstructorMatch	Try extraction
scala/util/Try#map().	capability	cats/Functor#map().	cats/Functor#map().	Try map
scala/util/Try#recoverWith().	capability	cats/ApplicativeError#handleErrorWith().	cats/ApplicativeError#handleErrorWith().	Try recovery is ApplicativeError
